model,stage,train_accuracy,train_f1_macro,train_mcc,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,test_mcc,cv_accuracy_mean,cv_accuracy_std,cv_precision_macro_mean,cv_recall_macro_mean,cv_f1_macro_mean,cv_f1_macro_std,cv_mcc_mean,cv_mcc_std
Logistic Regression,default,0.9185,0.9211,0.9063,0.8872,0.8767,0.8752,0.8821,0.8644,0.9131,0.0059,0.9172,0.9139,0.9151,0.0062,0.9,0.0068
SVC,default,0.9406,0.9447,0.9317,0.894,0.8863,0.8889,0.8859,0.8723,0.9258,0.0043,0.931,0.9282,0.9292,0.0042,0.9146,0.0049
Random Forest,default,0.9999,0.9999,0.9998,0.885,0.8751,0.8802,0.8729,0.8614,0.9205,0.0059,0.9259,0.9232,0.9239,0.0056,0.9087,0.0067
XGBoost,default,0.983,0.9858,0.9805,0.8865,0.8746,0.8772,0.8736,0.8631,0.9216,0.0061,0.9268,0.9243,0.9251,0.006,0.9099,0.007
Logistic Regression (Tuned),tuned,0.9199,0.9225,0.9078,0.894,0.8847,0.8827,0.8904,0.8725,0.9161,0.006,0.9203,0.917,0.9182,0.0059,0.9036,0.0069
SVC (Tuned),tuned,0.9406,0.9447,0.9317,0.894,0.8863,0.8889,0.8859,0.8723,0.9258,0.0043,0.931,0.9282,0.9292,0.0042,0.9146,0.0049
Random Forest (Tuned),tuned,0.889,0.8923,0.8736,0.8632,0.8518,0.868,0.8514,0.8373,0.8876,0.0071,0.9009,0.8873,0.8902,0.0066,0.8718,0.0076
XGBoost (Tuned),tuned,0.947,0.9511,0.939,0.8932,0.8843,0.8844,0.8859,0.8714,0.923,0.0046,0.9274,0.9247,0.9256,0.0043,0.9114,0.0052
